Product ID,Features,Mutation Operator,Mutation Element,Mutant ID,Is Mutant Valid?,Is Fault Detected?
1,P01: <!f- t>,Edge Omitter,pay/!f-change/!f,1,true,true
1,P01: <!f- t>,Edge Omitter,change/!f-tea/t,2,true,true
1,P01: <!f- t>,Edge Omitter,tea/t-serveTea/t,3,true,true
1,P01: <!f- t>,Edge Omitter,serveTea/t-open/!f,4,true,true
1,P01: <!f- t>,Edge Omitter,open/!f-take/!f,5,true,true
1,P01: <!f- t>,Edge Omitter,take/!f-close/!f,6,true,true
2,P02: <f- t>,Edge Omitter,free/f-tea/t,1,true,true
2,P02: <f- t>,Edge Omitter,tea/t-serveTea/t,2,true,true
2,P02: <f- t>,Edge Omitter,serveTea/t-take/f,3,true,true
3,P03: <!f- c- t>,Edge Omitter,pay/!f-change/!f,1,true,true
3,P03: <!f- c- t>,Edge Omitter,change/!f-tea/t,2,true,true
3,P03: <!f- c- t>,Edge Omitter,tea/t-serveTea/t,3,true,true
3,P03: <!f- c- t>,Edge Omitter,change/!f-cancel/c,4,true,true
3,P03: <!f- c- t>,Edge Omitter,cancel/c-return/c,5,true,true
3,P03: <!f- c- t>,Edge Omitter,serveTea/t-open/!f,6,true,true
3,P03: <!f- c- t>,Edge Omitter,open/!f-take/!f,7,true,true
3,P03: <!f- c- t>,Edge Omitter,take/!f-close/!f,8,true,true
4,P04: <f- c- t>,Edge Omitter,free/f-tea/t,1,true,true
4,P04: <f- c- t>,Edge Omitter,tea/t-serveTea/t,2,true,true
4,P04: <f- c- t>,Edge Omitter,serveTea/t-take/f,3,true,true
4,P04: <f- c- t>,Edge Omitter,cancel/c-return/c,4,true,true
4,P04: <f- c- t>,Edge Omitter,free/f-cancel/c,5,true,true
5,P05: <s- !f>,Edge Omitter,soda/s-serveSoda/s,1,true,true
5,P05: <s- !f>,Edge Omitter,pay/!f-change/!f,2,true,true
5,P05: <s- !f>,Edge Omitter,change/!f-soda/s,3,true,true
5,P05: <s- !f>,Edge Omitter,serveSoda/s-open/!f,4,true,true
5,P05: <s- !f>,Edge Omitter,open/!f-take/!f,5,true,true
5,P05: <s- !f>,Edge Omitter,take/!f-close/!f,6,true,true
6,P06: <s- f>,Edge Omitter,soda/s-serveSoda/s,1,true,true
6,P06: <s- f>,Edge Omitter,free/f-soda/s,2,true,true
6,P06: <s- f>,Edge Omitter,serveSoda/s-take/f,3,true,true
7,P07: <s- !f- c>,Edge Omitter,soda/s-serveSoda/s,1,true,true
7,P07: <s- !f- c>,Edge Omitter,pay/!f-change/!f,2,true,true
7,P07: <s- !f- c>,Edge Omitter,change/!f-soda/s,3,true,true
7,P07: <s- !f- c>,Edge Omitter,change/!f-cancel/c,4,true,true
7,P07: <s- !f- c>,Edge Omitter,cancel/c-return/c,5,true,true
7,P07: <s- !f- c>,Edge Omitter,serveSoda/s-open/!f,6,true,true
7,P07: <s- !f- c>,Edge Omitter,open/!f-take/!f,7,true,true
7,P07: <s- !f- c>,Edge Omitter,take/!f-close/!f,8,true,true
8,P08: <s- f- c>,Edge Omitter,soda/s-serveSoda/s,1,true,true
8,P08: <s- f- c>,Edge Omitter,free/f-soda/s,2,true,true
8,P08: <s- f- c>,Edge Omitter,serveSoda/s-take/f,3,true,true
8,P08: <s- f- c>,Edge Omitter,cancel/c-return/c,4,true,true
8,P08: <s- f- c>,Edge Omitter,free/f-cancel/c,5,true,true
9,P09: <s- !f- c- t>,Edge Omitter,soda/s-serveSoda/s,1,true,true
9,P09: <s- !f- c- t>,Edge Omitter,pay/!f-change/!f,2,true,true
9,P09: <s- !f- c- t>,Edge Omitter,change/!f-soda/s,3,true,true
9,P09: <s- !f- c- t>,Edge Omitter,change/!f-tea/t,4,true,true
9,P09: <s- !f- c- t>,Edge Omitter,tea/t-serveTea/t,5,true,true
9,P09: <s- !f- c- t>,Edge Omitter,change/!f-cancel/c,6,true,true
9,P09: <s- !f- c- t>,Edge Omitter,cancel/c-return/c,7,true,true
9,P09: <s- !f- c- t>,Edge Omitter,serveSoda/s-open/!f,8,true,true
9,P09: <s- !f- c- t>,Edge Omitter,serveTea/t-open/!f,9,true,true
9,P09: <s- !f- c- t>,Edge Omitter,open/!f-take/!f,10,true,true
9,P09: <s- !f- c- t>,Edge Omitter,take/!f-close/!f,11,true,true
10,P10: <s- !f- t>,Edge Omitter,soda/s-serveSoda/s,1,true,true
10,P10: <s- !f- t>,Edge Omitter,pay/!f-change/!f,2,true,true
10,P10: <s- !f- t>,Edge Omitter,change/!f-soda/s,3,true,true
10,P10: <s- !f- t>,Edge Omitter,change/!f-tea/t,4,true,true
10,P10: <s- !f- t>,Edge Omitter,tea/t-serveTea/t,5,true,true
10,P10: <s- !f- t>,Edge Omitter,serveSoda/s-open/!f,6,true,true
10,P10: <s- !f- t>,Edge Omitter,serveTea/t-open/!f,7,true,true
10,P10: <s- !f- t>,Edge Omitter,open/!f-take/!f,8,true,true
10,P10: <s- !f- t>,Edge Omitter,take/!f-close/!f,9,true,true
11,P11: <s- f- t>,Edge Omitter,soda/s-serveSoda/s,1,true,true
11,P11: <s- f- t>,Edge Omitter,free/f-soda/s,2,true,true
11,P11: <s- f- t>,Edge Omitter,free/f-tea/t,3,true,true
11,P11: <s- f- t>,Edge Omitter,tea/t-serveTea/t,4,true,true
11,P11: <s- f- t>,Edge Omitter,serveSoda/s-take/f,5,true,true
11,P11: <s- f- t>,Edge Omitter,serveTea/t-take/f,6,true,true
12,P12: <s- f- c- t>,Edge Omitter,soda/s-serveSoda/s,1,true,true
12,P12: <s- f- c- t>,Edge Omitter,free/f-soda/s,2,true,true
12,P12: <s- f- c- t>,Edge Omitter,free/f-tea/t,3,true,true
12,P12: <s- f- c- t>,Edge Omitter,tea/t-serveTea/t,4,true,true
12,P12: <s- f- c- t>,Edge Omitter,serveSoda/s-take/f,5,true,true
12,P12: <s- f- c- t>,Edge Omitter,serveTea/t-take/f,6,true,true
12,P12: <s- f- c- t>,Edge Omitter,cancel/c-return/c,7,true,true
12,P12: <s- f- c- t>,Edge Omitter,free/f-cancel/c,8,true,true
